 ,1,2,3,4,5,6,7,8,9
fn--tn,0.1445123,1.025473e-22,0.2003116,1.063413e-20,6.398416e-19,1.985567e-14,1.100106e-16,1.878112e-12,1.532925e-05
fn--fp,3.222237e-10,1.713206e-06,4.960397e-10,5.51663e-06,0.9642919,1.559526e-14,5.035897e-16,2.011659e-07,7.940194e-11
fn--tp,1.333705e-08,1.434255e-07,4.944792e-07,3.006151e-06,0.3773877,5.891774e-06,1.341693e-10,4.047693e-07,2.147572e-15
tn--fp,4.73705e-16,5.134432e-91,1.804566e-16,1.64481e-88,2.534575e-94,0.7289127,0.766694,0.2404483,9.10804e-55
tn--tp,6.873981e-40,0,4.952853e-30,0,0,2.029068e-51,1.076876e-08,0.3750663,0
fp--tp,5.649925e-05,0.02622906,2.951468e-06,0.0002649759,0.08178643,1.04801e-12,0.01974338,0.3033788,8.2753e-08
